Date,OIH
2023-04-27,254.5804443359375
2023-04-28,260.3257751464844
2023-05-01,259.5281066894531
2023-05-02,243.8209686279297
2023-05-03,240.76312255859375
2023-05-04,241.76025390625
2023-05-05,248.40774536132812
2023-05-08,248.90158081054688
2023-05-09,249.87969970703125
2023-05-10,246.74586486816406
2023-05-11,239.66152954101562
2023-05-12,240.25979614257812
2023-05-15,243.0327606201172
2023-05-16,236.52772521972656
2023-05-17,242.83334350585938
2023-05-18,246.20458984375
2023-05-19,246.91680908203125
2023-05-22,251.53207397460938
2023-05-23,252.2727813720703
2023-05-24,254.4285125732422
2023-05-25,247.97091674804688
2023-05-26,246.7173614501953
2023-05-30,243.13722229003906
2023-05-31,234.35302734375
2023-06-01,246.1285858154297
2023-06-02,258.73040771484375
2023-06-05,254.26702880859375
2023-06-06,257.410400390625
2023-06-07,265.1499328613281
2023-06-08,264.1813659667969
2023-06-09,262.4814758300781
2023-06-12,255.90045166015625
2023-06-13,261.4843444824219
2023-06-14,259.4996032714844
2023-06-15,264.42822265625
2023-06-16,262.39599609375
2023-06-20,258.39801025390625
2023-06-21,261.74072265625
2023-06-22,256.91656494140625
2023-06-23,253.93467712402344
2023-06-26,259.68951416015625
2023-06-27,263.10821533203125
2023-06-28,263.39312744140625
2023-06-29,268.4547424316406
2023-06-30,273.1174621582031
2023-07-03,276.03289794921875
2023-07-05,275.7099914550781
2023-07-06,273.51629638671875
2023-07-07,292.205322265625
2023-07-10,294.85479736328125
2023-07-11,305.072998046875
2023-07-12,307.4850769042969
2023-07-13,309.5078430175781
2023-07-14,304.5221862792969
2023-07-17,307.2381591796875
2023-07-18,314.7973327636719
2023-07-19,314.16107177734375
2023-07-20,312.5276794433594
2023-07-21,312.48968505859375
2023-07-24,319.5550231933594
2023-07-25,321.6822204589844
2023-07-26,320.628173828125
2023-07-27,315.87042236328125
2023-07-28,320.5046691894531
2023-07-31,326.4304504394531
2023-08-01,324.4931945800781
2023-08-02,322.16656494140625
2023-08-03,325.0249938964844
2023-08-04,324.61663818359375
2023-08-07,322.3089904785156
2023-08-08,324.227294921875
2023-08-09,328.17779541015625
2023-08-10,326.2595520019531
2023-08-11,329.7732238769531
2023-08-14,326.70587158203125
2023-08-15,320.9225158691406
2023-08-16,319.7449951171875
2023-08-17,318.6243591308594
2023-08-18,321.65374755859375
2023-08-21,319.45062255859375
2023-08-22,315.5000915527344
2023-08-23,318.46295166015625
2023-08-24,314.7498474121094
2023-08-25,314.4649658203125
2023-08-28,319.45062255859375
2023-08-29,322.3470153808594
2023-08-30,324.6356201171875
2023-08-31,323.5720520019531
2023-09-01,332.07135009765625
2023-09-05,334.8157958984375
2023-09-06,335.99334716796875
2023-09-07,334.2840576171875
2023-09-08,335.2906494140625
2023-09-11,335.8509216308594
2023-09-12,344.05584716796875
2023-09-13,336.724609375
2023-09-14,341.6057434082031
2023-09-15,338.9562683105469
2023-09-18,340.62762451171875
2023-09-19,333.562255859375
2023-09-20,331.2546691894531
2023-09-21,325.6327209472656
2023-09-22,327.8454284667969
2023-09-25,332.5176696777344
2023-09-26,329.4503173828125
2023-09-27,339.46905517578125
2023-09-28,337.4843444824219
2023-09-29,327.6650085449219
2023-10-02,319.5835266113281
2023-10-03,320.7041015625
2023-10-04,306.5354309082031
2023-10-05,305.0065002441406
2023-10-06,308.7101135253906
2023-10-09,322.5179138183594
2023-10-10,323.2016906738281
2023-10-11,325.16741943359375
2023-10-12,322.5749206542969
2023-10-13,327.63653564453125
2023-10-16,327.190185546875
2023-10-17,332.7265930175781
2023-10-18,331.6819763183594
2023-10-19,330.27655029296875
2023-10-20,323.3916015625
2023-10-23,321.4732971191406
2023-10-24,317.7127380371094
2023-10-25,313.2873840332031
2023-10-26,309.3748474121094
2023-10-27,309.4603271484375
2023-10-30,309.31787109375
2023-10-31,308.0643310546875
2023-11-01,310.2200622558594
2023-11-02,319.7354736328125
2023-11-03,318.46295166015625
2023-11-06,313.4393615722656
2023-11-07,299.70751953125
2023-11-08,298.3115234375
2023-11-09,298.6439208984375
2023-11-10,302.8318176269531
2023-11-13,305.0065002441406
2023-11-14,309.89715576171875
2023-11-15,305.0065002441406
2023-11-16,293.6582946777344
2023-11-17,300.1443176269531
2023-11-20,300.8945617675781
2023-11-21,299.0142517089844
2023-11-22,297.29541015625
2023-11-24,299.87841796875
2023-11-27,297.87469482421875
2023-11-28,296.5546875
2023-11-29,294.99725341796875
2023-11-30,296.5736389160156
2023-12-01,299.2421875
2023-12-04,296.8680419921875
2023-12-05,290.0495910644531
2023-12-06,279.77447509765625
2023-12-07,278.3594970703125
2023-12-08,282.1200866699219
2023-12-11,282.196044921875
2023-12-12,278.6444091796875
2023-12-13,284.6176452636719
2023-12-14,295.98486328125
2023-12-15,294.57940673828125
2023-12-18,296.4510192871094
2023-12-19,301.4092102050781
2023-12-20,298.60760498046875
2023-12-21,300.3790588378906
2023-12-22,300.7449035644531
2023-12-26,307.54193115234375
2023-12-27,304.46112060546875
2023-12-28,300.19610595703125
2023-12-29,297.9914245605469
2024-01-02,296.1333312988281
2024-01-03,297.3559875488281
2024-01-04,290.6841125488281
2024-01-05,293.9189758300781
2024-01-08,286.7753601074219
2024-01-09,279.4102783203125
2024-01-10,275.78070068359375
2024-01-11,277.03228759765625
2024-01-12,280.9602966308594
2024-01-16,273.5374755859375
2024-01-17,272.17999267578125
2024-01-18,275.6459045410156
2024-01-19,277.4944152832031
2024-01-22,281.8460388183594
2024-01-23,283.3190612792969
2024-01-24,289.2688903808594
2024-01-25,292.8791809082031
2024-01-26,295.0550231933594
2024-01-29,295.2187194824219
2024-01-30,288.1617126464844
2024-01-31,281.6246032714844
2024-02-01,280.77740478515625
2024-02-02,274.9912414550781
2024-02-05,272.02593994140625
2024-02-06,276.65679931640625
2024-02-07,276.2813415527344
2024-02-08,279.7183532714844
2024-02-09,277.1670837402344
2024-02-12,281.12396240234375
2024-02-13,276.3487243652344
2024-02-14,277.4751281738281
2024-02-15,286.2073059082031
2024-02-16,286.1880798339844
2024-02-20,283.5212097167969
2024-02-21,287.3818664550781
2024-02-22,291.10772705078125
2024-02-23,289.4903259277344
2024-02-26,288.7874755859375
2024-02-27,289.33624267578125
2024-02-28,286.9197692871094
2024-02-29,286.0147399902344
2024-03-01,293.6494140625
2024-03-04,290.09686279296875
2024-03-05,291.6180114746094
2024-03-06,292.6000061035156
2024-03-07,299.3296813964844
2024-03-08,297.86627197265625
