Date,SPY
2023-08-16,424.6397399902344
2023-08-17,421.4040832519531
2023-08-18,421.6068420410156
2023-08-21,424.34991455078125
2023-08-22,423.2005310058594
2023-08-23,427.9140930175781
2023-08-24,421.9835205078125
2023-08-25,424.9584655761719
2023-08-28,427.6532897949219
2023-08-29,433.8348693847656
2023-08-30,435.6217956542969
2023-08-31,434.98431396484375
2023-09-01,435.795654296875
2023-09-05,433.9121398925781
2023-09-06,430.9952392578125
2023-09-07,429.67193603515625
2023-09-08,430.3190612792969
2023-09-11,433.1491394042969
2023-09-12,430.7730407714844
2023-09-13,431.2752685546875
2023-09-14,434.99395751953125
2023-09-15,429.7529602050781
2023-09-18,430.0050354003906
2023-09-19,429.1133117675781
2023-09-20,425.1683349609375
2023-09-21,418.1409606933594
2023-09-22,417.20074462890625
2023-09-25,418.9551696777344
2023-09-26,412.80023193359375
2023-09-27,412.9649353027344
2023-09-28,415.3591003417969
2023-09-29,414.35101318359375
2023-10-02,414.186279296875
2023-10-03,408.6419372558594
2023-10-04,411.6176452636719
2023-10-05,411.4625244140625
2023-10-06,416.3477478027344
2023-10-09,419.0133972167969
2023-10-10,421.1941833496094
2023-10-11,422.9195861816406
2023-10-12,420.34124755859375
2023-10-13,418.2475280761719
2023-10-16,422.64813232421875
2023-10-17,422.62872314453125
2023-10-18,416.9971923828125
2023-10-19,413.333251953125
2023-10-20,408.2541809082031
2023-10-23,407.54656982421875
2023-10-24,410.6192932128906
2023-10-25,404.7259826660156
2023-10-26,399.87957763671875
2023-10-27,398.0670166015625
2023-10-30,402.8262023925781
2023-10-31,405.3560485839844
2023-11-01,409.6790771484375
2023-11-02,417.5303039550781
2023-11-03,421.3395690917969
2023-11-06,422.30889892578125
2023-11-07,423.5107727050781
2023-11-08,423.82098388671875
2023-11-09,420.51568603515625
2023-11-10,427.0777587890625
2023-11-13,426.670654296875
2023-11-14,434.94842529296875
2023-11-15,435.8692321777344
2023-11-16,436.4023132324219
