Date,IBB
2021-03-30,144.74855041503906
2021-03-31,148.57742309570312
2021-04-01,149.52481079101562
2021-04-05,150.16622924804688
2021-04-06,149.5741424560547
2021-04-07,146.88992309570312
2021-04-08,147.42286682128906
2021-04-09,146.77159118652344
2021-04-12,144.57090759277344
2021-04-13,147.24522399902344
2021-04-14,149.34716796875
2021-04-15,151.1728057861328
2021-04-16,151.24191284179688
2021-04-19,149.5840301513672
2021-04-20,149.5840301513672
2021-04-21,152.53463745117188
2021-04-22,152.6234588623047
2021-04-23,153.26492309570312
2021-04-26,156.2056427001953
2021-04-27,155.8010711669922
2021-04-28,154.70567321777344
2021-04-29,152.87013244628906
2021-04-30,152.6037139892578
2021-05-03,152.6234588623047
2021-05-04,148.2913055419922
2021-05-05,146.96893310546875
2021-05-06,146.44590759277344
2021-05-07,147.7386474609375
2021-05-10,145.09393310546875
2021-05-11,145.89324951171875
2021-05-12,144.4327392578125
2021-05-13,144.2057647705078
2021-05-14,147.70904541015625
2021-05-17,148.0248260498047
2021-05-18,148.5576934814453
2021-05-19,147.18600463867188
2021-05-20,150.1760711669922
2021-05-21,149.3866729736328
2021-05-24,148.478759765625
2021-05-25,147.7189178466797
2021-05-26,148.60704040527344
2021-05-27,148.78468322753906
2021-05-28,149.94912719726562
2021-06-01,148.91293334960938
2021-06-02,149.09060668945312
2021-06-03,148.89321899414062
2021-06-04,151.00506591796875
2021-06-07,156.19578552246094
2021-06-08,155.99844360351562
2021-06-09,158.39639282226562
2021-06-10,161.07403564453125
2021-06-11,159.99826049804688
2021-06-14,159.7317657470703
2021-06-15,157.363037109375
2021-06-16,156.22802734375
2021-06-17,156.98800659179688
2021-06-18,156.70181274414062
2021-06-21,158.1131591796875
2021-06-22,158.81393432617188
2021-06-23,158.40924072265625
2021-06-24,159.6627197265625
2021-06-25,161.00498962402344
2021-06-28,161.24185180664062
2021-06-29,161.46885681152344
2021-06-30,161.51815795898438
2021-07-01,162.95919799804688
2021-07-02,162.59402465820312
2021-07-06,160.738525390625
2021-07-07,159.3271026611328
2021-07-08,159.64297485351562
2021-07-09,161.0247039794922
2021-07-12,160.4226837158203
2021-07-13,158.84353637695312
2021-07-14,156.82020568847656
2021-07-15,157.17552185058594
2021-07-16,158.58689880371094
2021-07-19,159.67254638671875
2021-07-20,161.94261169433594
2021-07-21,162.69273376464844
2021-07-22,163.11712646484375
2021-07-23,164.5482177734375
2021-07-26,161.43927001953125
2021-07-27,160.13645935058594
2021-07-28,164.6370391845703
